NRBTS_Name,LNBTS_Name,DN,ALARM_TIME,CANCEL_TIME,ALARM_NUMBER,TEXT,SUPPLEMENTARY_INFO
CAL.RB Circunvalar P2,CAL.RB Circunvalar P2,PLMN-PLMN/MRBTS-612410/LNBTS-612410/LNADJGNB-0,2024-02-12 18:23:55,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Sheraton-1,BOG.Sheraton-1,PLMN-PLMN/MRBTS-3704/LNBTS-3704/LNADJGNB-0,2024-02-08 17:07:08,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BAR.Buenavista-2 (P2),BAR.Buenavista-2 (P2),PLMN-PLMN/MRBTS-789570/LNBTS-789570/LNADJGNB-0,2024-02-11 13:54:03,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Galan,BOG.Galan,PLMN-PLMN/MRBTS-296/LNBTS-296/LNADJGNB-0,2024-02-08 15:29:13,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.San Rafael Industrial,BOG.San Rafael Industrial,PLMN-PLMN/MRBTS-4469/LNBTS-4469/LNADJGNB-0,2024-02-12 13:14:00,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Centro Metropolis,BOG.Centro Metropolis,PLMN-PLMN/MRBTS-365/LNBTS-365/LNADJGNB-0,2024-02-13 12:10:11,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Chorros,CAL.Chorros,PLMN-PLMN/MRBTS-612637/LNBTS-612637/LNADJGNB-0,2024-02-08 16:20:15,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
CAL.Chorros,CAL.Chorros,PLMN-PLMN/MRBTS-612637/LNBTS-612637/LNADJGNB-0,2024-02-13 11:13:44,,7107,BASE STATION CONNECTIVITY PROBLEM,Setup of X2 connectivity to gNB failed
BOG.Capri-2,BOG.Capri-2,PLMN-PLMN/MRBTS-665/LNBTS-665,2024-02-13 12:35:59,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
BAR.Riomar,BAR.Riomar,PLMN-PLMN/MRBTS-13539/LNBTS-13539,2024-02-09 16:00:00,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
CAL.La Calenidad,CAL.La Calenidad,PLMN-PLMN/MRBTS-611889/LNBTS-611889,2024-02-13 20:02:02,,7657,BASE STATION CONNECTIVITY DEGRADED,Setup of X2 connectivity to gNB failed
