Date,Site,NR_5152a,cluster
2024-02-19 11:00:00,BOG.Umb,0.0,BOG
2024-02-19 11:00:00,BOG.San Martin,86.69808201058201,BOG
2024-02-19 11:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 11:00:00,BOG.Plaza Claro-1,0.0833333333333333,BOG
2024-02-19 11:00:00,BOG.Calle 94,0.0,BOG
2024-02-19 11:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 11:00:00,BOG.Carrera 10,66.66666666666667,BOG
2024-02-19 11:00:00,BOG.Chico Reservado,0.0,BOG
2024-02-19 11:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 11:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 11:00:00,BOG.Andino-1,97.72222222222224,BOG
2024-02-19 12:00:00,BOG.NOC Ortezal,89.78663868485485,BOG
2024-02-19 12:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 12:00:00,BOG.Calle 94,34.07407407407408,BOG
2024-02-19 12:00:00,BOG.Chico Reservado,69.14814814814815,BOG
2024-02-19 12:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 12:00:00,BOG.Andino-1,87.80246913580247,BOG
2024-02-19 12:00:00,BOG.Carrera 10,66.66666666666667,BOG
2024-02-19 12:00:00,BOG.Lourdes-1,93.25558521849094,BOG
2024-02-19 12:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 12:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 12:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 12:00:00,BOG.Suba-3,98.33333333333331,BOG
2024-02-19 12:00:00,BOG.Umb,0.0,BOG
2024-02-19 13:00:00,BOG.Ferrocarril,91.97222222222224,BOG
2024-02-19 13:00:00,BOG.Patria:H1,91.95775792038992,BOG
2024-02-19 13:00:00,BOG.Lourdes,97.57666738151404,BOG
2024-02-19 13:00:00,BOG.Umb,0.0,BOG
2024-02-19 13:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 13:00:00,BOG.Carrera 10,66.66666666666667,BOG
2024-02-19 13:00:00,BOG.Andino-1,67.93518518518519,BOG
2024-02-19 13:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 13:00:00,BOG.Calle 94,87.41455568958585,BOG
2024-02-19 13:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 13:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 13:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 13:00:00,BOG.La Manuelita,91.80560482440582,BOG
2024-02-19 14:00:00,BOG.Andino-2,94.6126023224824,BOG
2024-02-19 14:00:00,BOG.Patria:H1,87.65614727153189,BOG
2024-02-19 14:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 14:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 14:00:00,BOG.Suba-3,90.75,BOG
2024-02-19 14:00:00,BOG.Umb,0.0,BOG
2024-02-19 14:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 14:00:00,BOG.Rincon Modelia,75.0,BOG
2024-02-19 14:00:00,BOG.Royal-3,56.109725685785534,BOG
2024-02-19 14:00:00,BOG.NOC Ortezal,92.70412535194026,BOG
2024-02-19 14:00:00,BOG.Carrera 10,64.92465533824944,BOG
2024-02-19 14:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 14:00:00,BOG.Andino-1,80.57137522173467,BOG
2024-02-19 14:00:00,BOG.Bochica,95.66624565835176,BOG
2024-02-19 14:00:00,BOG.Lourdes-1,96.06344628695024,BOG
2024-02-19 14:00:00,BOG.Cabrera-1,87.02256944444444,BOG
2024-02-19 15:00:00,BOG.Royal-3,0.0,BOG
2024-02-19 15:00:00,BOG.Santa Ana,98.07407407407408,BOG
2024-02-19 15:00:00,BOG.IND Fundacion Santafe-4,0.0,BOG
2024-02-19 15:00:00,BOG.Santo Tomas,50.0,BOG
2024-02-19 15:00:00,BOG.Quinta Camacho-2,0.0,BOG
2024-02-19 15:00:00,BOG.Rincon Modelia,66.30774032459426,BOG
2024-02-19 15:00:00,BOG.Cabrera-1,93.6231055190163,BOG
2024-02-19 15:00:00,BOG.Plaza Claro-2,65.73426573426573,BOG
2024-02-19 15:00:00,BOG.Alcazares,97.83333333333331,BOG
2024-02-19 15:00:00,BOG.Andino-2,94.9351851851852,BOG
2024-02-19 15:00:00,BOG.Suba-3,92.04629629629628,BOG
2024-02-19 15:00:00,BOG.Umb,15.86111111111111,BOG
2024-02-19 15:00:00,BOG.Primavera Norte,73.40395480225989,BOG
2024-02-19 15:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 16:00:00,BOG.Bosque Popular,25.0,BOG
2024-02-19 16:00:00,BOG.Normandia-2,85.93987823439878,BOG
2024-02-19 16:00:00,BOG.Patria:H1,93.1602879878742,BOG
2024-02-19 16:00:00,BOG.Calle 122,97.75,BOG
